ID: GO:0005488
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
192	199	PREF	BINDING	inding
12235	12238	SYN	RNA	NA
13002	13005	SYN	RNA	NA
13041	13044	SYN	RNA	NA
14425	14428	SYN	RNA	NA
27336	27339	SYN	RNA	NA
52586	52589	SYN	RNA	NA
ID: GO:0001171
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12051	12072	PREF	REVERSE TRANSCRIPTION	everse Transcription
13600	13621	PREF	REVERSE TRANSCRIPTION	everse transcription
ID: GO:0006351
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12059	12072	SYN	TRANSCRIPTION	ranscription
13608	13621	SYN	TRANSCRIPTION	ranscription
ID: GO:0045292
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12122	12130	SYN	SPLICING	plicing
26188	26196	SYN	SPLICING	plicing
27130	27138	SYN	SPLICING	plicing
ID: GO:0009058
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12349	12358	SYN	SYNTHESIS	ynthesis
13155	13164	SYN	SYNTHESIS	ynthesis
41009	41018	SYN	SYNTHESIS	ynthesis
ID: GO:0016018
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
14375	14386	SYN	CYCLOPHILIN	yclophilin
14694	14705	SYN	CYCLOPHILIN	yclophilin
ID: GO:0004600
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
14375	14386	SYN	CYCLOPHILIN	yclophilin
14694	14705	SYN	CYCLOPHILIN	yclophilin
ID: GO:0033867
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
15081	15085	SYN	FAST	ast
15520	15524	SYN	FAST	ast
15735	15739	SYN	FAST	ast
ID: GO:0003675
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
15086	15093	SYN	PROTEIN	rotein
15525	15532	SYN	PROTEIN	rotein
16530	16537	SYN	PROTEIN	rotein
17421	17428	SYN	PROTEIN	rotein
18255	18262	SYN	PROTEIN	rotein
18317	18324	SYN	PROTEIN	rotein
24030	24037	SYN	PROTEIN	rotein
24042	24049	SYN	PROTEIN	rotein
24582	24589	SYN	PROTEIN	rotein
27210	27217	SYN	PROTEIN	rotein
27680	27687	SYN	PROTEIN	rotein
32947	32954	SYN	PROTEIN	rotein
33736	33743	SYN	PROTEIN	rotein
33785	33792	SYN	PROTEIN	rotein
44114	44121	SYN	PROTEIN	rotein
46366	46373	SYN	PROTEIN	rotein
55865	55872	SYN	PROTEIN	rotein
ID: GO:0034005
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
16916	16919	SYN	GAS	as
27976	27979	SYN	GAS	as
ID: GO:0019815
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17101	17109	SYN	ANTIBODY	ntibody
18711	18719	SYN	ANTIBODY	ntibody
19612	19620	SYN	ANTIBODY	ntibody
19756	19764	SYN	ANTIBODY	ntibody
19864	19872	SYN	ANTIBODY	ntibody
20429	20437	SYN	ANTIBODY	ntibody
21955	21963	SYN	ANTIBODY	ntibody
22079	22087	SYN	ANTIBODY	ntibody
33185	33193	SYN	ANTIBODY	ntibody
33312	33320	SYN	ANTIBODY	ntibody
33845	33853	SYN	ANTIBODY	ntibody
33899	33907	SYN	ANTIBODY	ntibody
34120	34128	SYN	ANTIBODY	ntibody
34281	34289	SYN	ANTIBODY	ntibody
34367	34375	SYN	ANTIBODY	ntibody
34734	34742	SYN	ANTIBODY	ntibody
35097	35105	SYN	ANTIBODY	ntibody
35192	35200	SYN	ANTIBODY	ntibody
35671	35679	SYN	ANTIBODY	ntibody
35745	35753	SYN	ANTIBODY	ntibody
35970	35978	SYN	ANTIBODY	ntibody
36563	36571	SYN	ANTIBODY	ntibody
48147	48155	SYN	ANTIBODY	ntibody
48523	48531	SYN	ANTIBODY	ntibody
51691	51699	SYN	ANTIBODY	ntibody
51760	51768	SYN	ANTIBODY	ntibody
56211	56219	SYN	ANTIBODY	ntibody
56419	56427	SYN	ANTIBODY	ntibody
56532	56540	SYN	ANTIBODY	ntibody
56670	56678	SYN	ANTIBODY	ntibody
56875	56883	SYN	ANTIBODY	ntibody
57078	57086	SYN	ANTIBODY	ntibody
57300	57308	SYN	ANTIBODY	ntibody
57397	57405	SYN	ANTIBODY	ntibody
57542	57550	SYN	ANTIBODY	ntibody
58143	58151	SYN	ANTIBODY	ntibody
ID: GO:0042571
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17101	17109	SYN	ANTIBODY	ntibody
18711	18719	SYN	ANTIBODY	ntibody
19612	19620	SYN	ANTIBODY	ntibody
19756	19764	SYN	ANTIBODY	ntibody
19864	19872	SYN	ANTIBODY	ntibody
20429	20437	SYN	ANTIBODY	ntibody
21955	21963	SYN	ANTIBODY	ntibody
22079	22087	SYN	ANTIBODY	ntibody
33185	33193	SYN	ANTIBODY	ntibody
33312	33320	SYN	ANTIBODY	ntibody
33845	33853	SYN	ANTIBODY	ntibody
33899	33907	SYN	ANTIBODY	ntibody
34120	34128	SYN	ANTIBODY	ntibody
34281	34289	SYN	ANTIBODY	ntibody
34367	34375	SYN	ANTIBODY	ntibody
34734	34742	SYN	ANTIBODY	ntibody
35097	35105	SYN	ANTIBODY	ntibody
35192	35200	SYN	ANTIBODY	ntibody
35671	35679	SYN	ANTIBODY	ntibody
35745	35753	SYN	ANTIBODY	ntibody
35970	35978	SYN	ANTIBODY	ntibody
36563	36571	SYN	ANTIBODY	ntibody
48147	48155	SYN	ANTIBODY	ntibody
48523	48531	SYN	ANTIBODY	ntibody
51691	51699	SYN	ANTIBODY	ntibody
51760	51768	SYN	ANTIBODY	ntibody
56211	56219	SYN	ANTIBODY	ntibody
56419	56427	SYN	ANTIBODY	ntibody
56532	56540	SYN	ANTIBODY	ntibody
56670	56678	SYN	ANTIBODY	ntibody
56875	56883	SYN	ANTIBODY	ntibody
57078	57086	SYN	ANTIBODY	ntibody
57300	57308	SYN	ANTIBODY	ntibody
57397	57405	SYN	ANTIBODY	ntibody
57542	57550	SYN	ANTIBODY	ntibody
58143	58151	SYN	ANTIBODY	ntibody
ID: GO:0003823
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17101	17109	SYN	ANTIBODY	ntibody
18711	18719	SYN	ANTIBODY	ntibody
19612	19620	SYN	ANTIBODY	ntibody
19756	19764	SYN	ANTIBODY	ntibody
19864	19872	SYN	ANTIBODY	ntibody
20429	20437	SYN	ANTIBODY	ntibody
21955	21963	SYN	ANTIBODY	ntibody
22079	22087	SYN	ANTIBODY	ntibody
33185	33193	SYN	ANTIBODY	ntibody
33312	33320	SYN	ANTIBODY	ntibody
33845	33853	SYN	ANTIBODY	ntibody
33899	33907	SYN	ANTIBODY	ntibody
34120	34128	SYN	ANTIBODY	ntibody
34281	34289	SYN	ANTIBODY	ntibody
34367	34375	SYN	ANTIBODY	ntibody
34734	34742	SYN	ANTIBODY	ntibody
35097	35105	SYN	ANTIBODY	ntibody
35192	35200	SYN	ANTIBODY	ntibody
35671	35679	SYN	ANTIBODY	ntibody
35745	35753	SYN	ANTIBODY	ntibody
35970	35978	SYN	ANTIBODY	ntibody
36563	36571	SYN	ANTIBODY	ntibody
48147	48155	SYN	ANTIBODY	ntibody
48523	48531	SYN	ANTIBODY	ntibody
51691	51699	SYN	ANTIBODY	ntibody
51760	51768	SYN	ANTIBODY	ntibody
56211	56219	SYN	ANTIBODY	ntibody
56419	56427	SYN	ANTIBODY	ntibody
56532	56540	SYN	ANTIBODY	ntibody
56670	56678	SYN	ANTIBODY	ntibody
56875	56883	SYN	ANTIBODY	ntibody
57078	57086	SYN	ANTIBODY	ntibody
57300	57308	SYN	ANTIBODY	ntibody
57397	57405	SYN	ANTIBODY	ntibody
57542	57550	SYN	ANTIBODY	ntibody
58143	58151	SYN	ANTIBODY	ntibody
ID: GO:0004201
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17559	17562	SYN	ICE	ce
18010	18013	SYN	ICE	ce
ID: GO:1990116
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
18313	18316	SYN	RAD	ad
ID: GO:0071736
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
22075	22087	SYN	IGG ANTIBODY	gG antibody
ID: GO:0051235
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
23909	23916	SYN	STORAGE	torage
ID: GO:0005322
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
30559	30562	SYN	LDL	DL
42760	42763	SYN	LDL	DL
54090	54093	SYN	LDL	DL
ID: GO:0010467
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
31179	31194	PREF	GENE EXPRESSION	ene expression
ID: GO:0003824
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
31199	31214	SYN	ENZYME ACTIVITY	nzyme activity
32203	32218	SYN	ENZYME ACTIVITY	nzyme activity
43121	43136	SYN	ENZYME ACTIVITY	nzyme activity
43456	43471	SYN	ENZYME ACTIVITY	nzyme activity
54196	54211	SYN	ENZYME ACTIVITY	nzyme activity
ID: GO:0016125
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
31346	31363	SYN	STEROL METABOLISM	terol metabolism
ID: GO:0008152
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
31353	31363	SYN	METABOLISM	etabolism
ID: GO:0042282
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
32260	32286	SYN	HMG-COA REDUCTASE ACTIVITY	MG-CoA reductase activity
32320	32346	SYN	HMG-COA REDUCTASE ACTIVITY	MG-CoA reductase activity
ID: GO:0004420
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
32260	32286	SYN	HMG-COA REDUCTASE ACTIVITY	MG-CoA reductase activity
32320	32346	SYN	HMG-COA REDUCTASE ACTIVITY	MG-CoA reductase activity
ID: GO:0000224
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
34326	34334	SYN	PNGASE F	NGase F
34326	34332	SYN	PNGASE	NGase
ID: GO:0003904
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
35757	35760	SYN	PRE	re
51521	51524	SYN	PRE	re
51548	51551	SYN	PRE	re
56819	56822	SYN	PRE	re
56884	56887	SYN	PRE	re
ID: GO:0042626
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
36085	36100	SYN	ABC TRANSPORTER	BC transporter
ID: GO:0006699
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
40999	41018	SYN	BILE ACID SYNTHESIS	ile acid synthesis
ID: GO:0070085
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
47864	47877	PREF	GLYCOSYLATION	lycosylation
48786	48799	PREF	GLYCOSYLATION	lycosylation
54920	54933	PREF	GLYCOSYLATION	lycosylation
ID: GO:0005783
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
47968	47989	PREF	ENDOPLASMIC RETICULUM	ndoplasmic reticulum
